계정명,속성명,Web Stream Measurement ID,Property ID,대표 URLs,Web GTM Pubilic ID,Dataset ID
[GA4] Amorepacific - Legacy,[OTHERS] 쉐이드피커,G-SHMDRQ90KY,416691938.0,https://bts.amorepacific.com/sp/bts/,GTM-WJCSXWMT,analytics_416691938
[GA4] Amorepacific - Legacy,[OTHERS] 시티랩,G-XQC6N9F0XH,416711869.0,https://bts.amorepacific.com/bts/ctl/,GTM-WJCSXWMT,analytics_416711869
[GA4] Amorepacific - Others,[OTHERS] 아모레 카운셀러,G-9EZYKRYZ0Z,416689685.0,https://www.amorecounselor.com/kr/ko/b/html/main.html,GTM-NWQBWBPF,analytics_416689685
[GA4] Amorepacific - Others,[OTHERS] 아모레스토리,G-0R7R0VX7ML,416690243.0,https://stories.amorepacific.com/,GTM-TRTNBQ5J,analytics_416690243
[GA4] Amorepacific - Others,[OTHERS] 아모레팩토리 오디오 가이드,G-K8WCVSEV5W,416650437.0,https://tour.amorepacific.com,GTM-KHZ64DNM,analytics_416650437
[GA4] Amorepacific - Others,[OTHERS] 아모레퍼시픽 공식 대시보드,G-TTV4CQLVYG,416669440.0,http://dataplace.amorepacific.com/,GTM-MXFPN4KH,analytics_416669440
[GA4] Amorepacific - Others,[OTHERS]아모레퍼시픽 미술관,G-P9SJQDHKTB,416692289.0,https://apma.amorepacific.com/index.do,GTM-NNTXRQ5J,analytics_416692289
[GA4] Amorepacific - Legacy,[OTHERS] 에스트라,G-7ETR9BTPGJ,437631407.0,https://bts.amorepacific.com/bts/asb/,GTM-WJCSXWMT,analytics_437631407
[GA4] Amorepacific - Others,[OTHERS] 옴니회원플랫폼,G-0DMNZC4JXE,416713480.0,https://one-ap.amorepacific.com/,GTM-KGCJ8PF5,analytics_416713480
[GA4] Amorepacific - Legacy,[OTHERS] 퍼시픽패키지,G-01SEZN05ZS,416612117.0,https://www.pacificpackage.co.kr/,GTM-M3VWFSRR,analytics_416612117
